id,user,date,transaction_type,amount
1,f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-30,DEBIT,64709
2,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-04,DEBIT,98089
3,f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-07,DEBIT,88877
4,f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-27,DEBIT,17735
5,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-25,DEBIT,46503
6,f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-21,CREDIT,5218
7,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-31,DEBIT,25130
8,f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-02,DEBIT,26164
9,f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-22,CREDIT,27038
10,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-16,DEBIT,24078
11,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-02,DEBIT,45952
12,f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-06,DEBIT,83886
13,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-31,CREDIT,38686
14,f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-03,DEBIT,92131
15,f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-01,CREDIT,67071
16,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-25,CREDIT,65981
17,f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-01,DEBIT,8509
18,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-10,DEBIT,50479
19,f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-11,DEBIT,15391
20,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-28,CREDIT,93614
21,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-05,DEBIT,20104
22,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-06,CREDIT,19360
23,f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-04,DEBIT,75265
24,f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-11,DEBIT,64206
25,f5abc955-889d-4a17-87b9-45b362eb673b,2020-09-27,CREDIT,10563
26,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-06,DEBIT,2321
27,f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-28,DEBIT,44655
28,f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-25,DEBIT,69136
29,f5abc955-889d-4a17-87b9-45b362eb673b,2020-08-30,DEBIT,1335
30,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-28,CREDIT,77913
31,f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-17,CREDIT,12729
32,f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-20,CREDIT,88408
33,f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-27,CREDIT,59309
34,f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-08,CREDIT,2458
35,f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-08,DEBIT,16387
